"SEG","RPT","USE","SET ID","FIELD ORDER AND USE","SET FORMAT NAME"
,,"(M)","MSGID","/M/M/M/M/O/O/O","MESSAGE IDENTIFICATION"
,"        *","(O)","DEL","/M/M/O","DELETE"
,"        *","(O)","DLOB","/M/M/M/M/M/M/O/M/O","DELETE LINE OF BEARING"
,"        *","(O)","DPOS","/M/M/M/M/M/O/O/M/O","DELETE POSITION"
,"        *","(O)","MRG","/M/M/M/M/O(See Note 1)/O/O","MERGE"
"[","*","(C)","CTC","/M/M/O/O/O/O/O/O/O/O/M/O/M/O/O/O/O/O/O/O","CONTACT"
"  [[","    *","(C)","POS","/M/M/M/M/O/C/O/O/O/O/O/O/O(See Note 1)/O/O/O/O","POSITION"
"  [[","    *","(O)","RADB","/M/M/C/C/O/O/O/O/O/O","EXPANDED RADAR DATA"
"  [[",,"(O)","EOB","/C/C","ELECTRONIC ORDER OF"
"  [[","    *","(O)","RMKS","/M","REMARKS"
"  [[[","*","(M)","SIGNA","/M/M/M/O/O/M/M/O/O","SIGNATURE"
"  [[["," *","(O)","SIGAM","/M","SIGNA AMPLIFICATION"
"  [[ END OF SEGMENT",,,,,
"  [[",,"(O)","MODEG","/C/C/O/C/C","MODE GOLD"
"  [[",,"(O)","PRSNL","/M/M/C/C/C/C/C/C/O/O/O","PERSONNEL"
"  [[","    *","(O)","EQPT","/M/M/M/C/C/C/C/C","EQUIPMENT"
"  [[",,"(O)","POW","/M/M/M","PRISONERS OF WAR"
"  [[","    *","(O)","REFUG","/M/M/M/O/O","REFUGEES"
"  [[","    *","(O)","ENGAG","/M/M/M/O","ENGAGEMENT"
"  [ END OF SEGMENT",,,,,
"  [[","    *","(C)","LOB","/M/M/M/M/M/O/O/C/O/O(See Note 1)/O","LINE OF BEARING"
"  [[","    *","(O)","RADB","/M/M/C/C/O/O/O/O/O/O","EXPANDED RADAR DATA"
"  [[",,"(O)","EOB","/C/C","ELECTRONIC ORDER OF"
"  [[","    *","(O)","RMKS","/M","REMARKS"
"  [[["," *","(C)","SIGNA","/M/M/M/O/O/M/M/O/O","SIGNATURE"
" [[["," *","(O)","SIGAM","/M","SIGNA AMPLIFICATION"
" [ [ END OF SEGMENT",,,,,
" [[",,"(O)","MODEG","/C/C/O/C/C","MODE GOLD"
" [[",,"(O)","PRSNL","/M/M/C/C/C/C/C/C/O/O/O","PERSONNEL"
" [[","    *","(O)","EQPT","/M/M/M/C/C/C/C/C","EQUIPMENT"
" [[",,"(O)","POW","/M/M/M","PRISONERS OF WAR"
" [[","    *","(O)","REFUG","/M/M/M/O/O","REFUGEES"
" [[","    *","(O)","ENGAG","/M/M/M/O","ENGAGEMENT"
" [",,,,,
" [",,"(O)","GOB","/O/O/O/O","GROUND ORDER OF BATTLE"
" [",,"(O)","UIC","/*M","UNIT IDENTIFICATION CODE"
" [",,"(O)","PAIR","/C/C/C/C/O/O/O/O/O/O/O/O","PAIR"
" [",,"(O)","PCRFT","/O/O/O","PLEASURE CRAFT DATA"
" [",,"(O)","RIG","/O/O/O/O/O/O/O","RIGGING"
" [",,"(O)","ARR","/M/M/O/O/O/O/O/O","ARRIVAL"
" [",,"(O)","DEP","/M/M/O/O/O/O/O/O","DEPARTURE"
" [",,"(O)","DES","/M/M/O/O/O/O/O/O","DESTINATION"
" [","    *","(O)","RMKS","/M","REMARKS"
"END OF SEGMENT",,,,,
,,"(M)","ENDAT","/C/*C/*C","END OF DATA"